URL;type ;type2;type3;source
theracketreport.com;Fake news;;;1
therealshtick.com;Fake news;;;1
therealstrategy.com;Fake news;;;1
thereporterz.com;Fake news;;;1
therightists.com;Fake news;;;1
therooster.com;Fake news;;;1
theseattletribune.com;Fake news;;;1
thesmokersclub.com;Fake news;;;1
thesolexchange.com;Fake news;;;1
thetrumpmedia.com;Fake news;;;1
thetrumppers.com;Fake news;;;1
theusaconservative.com;Fake news;;;1
theusa-news.com;Fake news;;;1
thevalleyreport.com;Fake news;;;1
thewashingtonpress.com;Fake news;;;1
theworldupdate.com;Fake news;;;1
thirdestatenewsgroup.com;Fake news;;;1
times.com.mx;Fake news;;;1
timesofcambodia.com;Fake news;;;1
tmn.today;Fake news;;;1
tmzbreaking.com;Fake news;;;1
tmzbusiness.com;Fake news;;;1
tmzcomedy.com;Fake news;;;1
tmzhiphop.com;Fake news;;;1
tmzuncut.com;Fake news;;;1
tmzurban.com;Fake news;;;1
tmzworldnews.com;Fake news;;;1
tmzworldstar.com;Fake news;;;1
tmzworldstarnews.com;Fake news;;;1
topinfopost.com;Fake news;;;1
toprightnews.com;Fake news;;;1
toutelinfo.fr;Fake news;;;1
tribunist.com;Fake news;;;1
trueactivist.com;Fake news;;;1
trueamericans.me;Fake news;;;1
truetrumpers.com;Fake news;;;1
trunews.com;Fake news;;;1
truthfeed.com;Fake news;;;1
truthkings.com;Fake news;;;1
truthuncensored.net;Fake news;;;1
undergroundnewsreport.com;Fake news;;;1
unitedmediapublishing.com;Fake news;;;1
unitednews.org;Fake news;;;1
universepolitics.com;Fake news;;;1
urbanimagemagazine.com;Fake news;;;1
urdoca.com;Fake news;;;1
usa360-tv.com;Fake news;;;1
usa-conservative.com;Fake news;;;1
usaconservativereport.com;Fake news;;;1
usadailyinfo.com;Fake news;;;1
usadailypost.us;Fake news;;;1
usadailythings24.com;Fake news;;;1
usadailytime.com;Fake news;;;1
usadosenews.com;Fake news;;;1
usafirstinformation.com;Fake news;;;1
usanews4u.us;Fake news;;;1
usanewsflash.com;Fake news;;;1
usanewshome.com;Fake news;;;1
usanewstoday.com;Fake news;;;1
usapolitics24hrs.com;Fake news;;;1
usapoliticsnow.com;Fake news;;;1
usapoliticstoday.com;Fake news;;;1
usapoliticszone.com;Fake news;;;1
usa-radio.com;Fake news;;;1
usasnich.com;Fake news;;;1
usasupreme.com;Fake news;;;1
usa-television.com;Fake news;;;1
usatodaynews.me;Fake news;;;1
usatodaypolitics.com;Fake news;;;1
usaworldbox.com;Fake news;;;1
uschronicle.com;Fake news;;;1
ushealthyadvisor.com;Fake news;;;1
ushealthylife.com;Fake news;;;1
usherald.com;Fake news;;;1
usinfonews.com;Fake news;;;1
uspoliticsinfo.com;Fake news;;;1
uspoln.com;Fake news;;;1
uspostman.com;Fake news;;;1
ustruthwire.com;Fake news;;;1
usuncut.com;Fake news;;;1
vancouverinquirer.com;Fake news;;;1
vesselnews.io;Fake news;;;1
veteransfordonaldtrump.com;Fake news;;;1
viralactions.com;Fake news;;;1
viralcocaine.com;Fake news;;;1
viralcords.com;Fake news;;;1
viraldevil.com;Fake news;;;1
viralliberty.com;Fake news;;;1
viralmugshot.com;Fake news;;;1
viralpropaganda.com;Fake news;;;1
viralspeech.com;Fake news;;;1
viralstupid.com;Fake news;;;1
viralstuppid.com;Fake news;;;1
voxtribune.com;Fake news;;;1
washingtonevening.com;Fake news;;;1
washingtonfeed.com;Fake news;;;1
washingtonpost.com.co;Fake news;;;1
wazanews.tk;Fake news;;;1
wcpm3.com;Fake news;;;1
wearechange.org;Fake news;;;1
weconservative.com;Fake news;;;1
weekendherald.com;Fake news;;;1
weekendpoliticalnews.com;Fake news;;;1
welovenative.com;Fake news;;;1
werk35.com;Fake news;;;1
westernsentinel.com;Fake news;;;1
westfieldpost.com;Fake news;;;1
wetheproudpatriots.com;Fake news;;;1
wftj8news.com;Fake news;;;1
whatdoesitmean.com;Fake news;;;1
whatsupic.com;Fake news;;;1
whydontyoutrythis.com;Fake news;;;1
witscience.org;Fake news;;;1
wleb21.com;Fake news;;;1
wm21news.com;Fake news;;;1
wmacnews.com;Fake news;;;1
wmb36.com;Fake news;;;1
wnd.com;Fake news;;;1
world.politics.com;Fake news;;;1
worldinformation24.info;Fake news;;;1
worldnewscircle.com;Fake news;;;1
worldnewsdailyreport.com;Fake news;;;1
worldnewspolitics.com;Fake news;;;1
worldpoliticsnow.com;Fake news;;;1
worldpoliticus.com;Fake news;;;1
world-politicus.com;Fake news;;;1
worldtruth.tv;Fake news;;;1
wrejnews.com;Fake news;;;1
wrpm33.com;Fake news;;;1
wrpt16.com;Fake news;;;1
wtoe5news.com;Fake news;;;1
wy21news.com;Fake news;;;1
xbn-news.com;Fake news;;;1
yesimright.com;Fake news;;;1
youngcons.com;Fake news;;;1
yournewswire.com;Fake news;;;1
zerohedge.com;Fake news;;;1
zootfeed.com;Fake news;;;1
ANews24.org/;Fake news;;;2
IndiaTimes.com;some fake stories;;;2
TopInfoPost.con;Some fake stories;;;2
82221129208;conspiracy;fake;;3
21stcenturywire.com;conspiracy;;;3
24newsflash.com;fake;;;3
365usanews.com;bias;conspiracy;;3
4threvolutionarywar.wordpress.com;bias;conspiracy;;3
70news.wordpress.com;fake;;;3
aanirfan.blogspot.co.uk;unreliable;;;3
abcnewsgo.co;fake;;;3
abeldanger.net;conspiracy;;;3
abovetopsecret.com;conspiracy;rumor;;3
abriluno.com;satire;fake;;3
aceflashman.wordpress.com;satire;;;3
actforamerica.org/news;hate;;;3
Acting-Man.com;unreliable;conspiracy;;3
addictinginfo.org;clickbait;unreliable;;3
adflegal.org/media;hate;;;3
advocate.com;political;reliable;;3
aheadoftheherd.com;bias;;;3
allnewspipeline.com;unreliable;conspiracy;;3
alternativemediasyndicate.com;fake;;;3
alternet.org;political;reliable;;3
Alt-Market.com;conspiracy;bias;;3
americablog.com;bias;clickbait;;3
americanborderpatrol.com;hate;;;3
americanfreepress.net;conspiracy;bias;;3
AmericanKabuki.blogspot.com;junksci;;;3
americanlookout.com;bias;clickbait;;3
americannewsx.com;political;bias;satire;3
americanoverlook.com;fake;;;3
americanpatriotdaily.com;bias;clickbait;bias;3
americanprogress.org;political;reliable;;3
americanreviewer.com;conspiracy;;;3
americanthinker.com;bias;;;3
AmmoLand.com;bias;;;3
amplifyingglass.com;clickbait;satire;;3
amren.com;hate;conspiracy;;3
